kepid,kepoi_name,koi_period,koi_time0bk,koi_duration,label
10797460,K00752.01,9.48803557,170.53875,2.9575,1
10797460,K00752.02,54.4183827,162.51384,4.507,1
10848459,K00754.01,1.736952453,170.307565,2.40641,0
10854555,K00755.01,2.525591777,171.59555,1.6545,1
10872983,K00756.01,11.09432054,171.20116,4.5945,1
10872983,K00756.02,4.13443512,172.97937,3.1402,1
10872983,K00756.03,2.56658897,179.55437,2.429,1
6721123,K00114.01,7.36178958,132.25053,5.022,0
10910878,K00757.01,16.06864674,173.621937,3.5347,1
11446443,K00001.01,2.470613377,122.763305,1.74319,1
10666592,K00002.01,2.204735417,121.3585417,3.88864,1
6922244,K00010.01,3.522498429,121.1194228,3.19843,1
10984090,K00112.02,3.709214104,133.98318,2.6302,1
10419211,K00742.01,11.521446064,170.839688,3.6399,0
10464078,K00743.01,19.40393776,172.484253,12.2155,0
10480982,K00744.01,19.221388942,184.5521637,4.79843,0
10485250,K00745.01,16.46983774,180.881761,9.4378,0
10526549,K00746.01,9.27358173,173.258155,3.2875,1
10583066,K00747.01,6.02930329,171.602959,1.5821,1
10583180,K00748.01,2.696370652,170.73769,3.6129,0
10601284,K00749.01,5.349553819,171.80694,3.0278,1
10601284,K00749.02,3.94105221,136.08662,2.5984,1
10601284,K00749.03,8.10904807,132.8031,3.596,1
2306756,K00113.01,386.6030528,166.342079,6.8057,0
10662202,K00750.01,21.67699193,171.53594,3.4555,1
10682541,K00751.01,4.99677968,171.74208,2.1717,1
11460018,K00769.01,4.280963604,171.89659,2.875,1
11463211,K00770.01,1.50635409,170.998064,1.5155,0
11465813,K00771.01,670.645531,209.04355,53.412,0
11493732,K00772.01,61.2563628,173.83826,7.633,0
11507101,K00773.01,38.3775486,172.82048,5.588,1
10910878,K00757.02,41.19725502,165.00404,4.6297,1
10910878,K00757.03,6.252962249,171.30126,2.5819,1
10987985,K00758.01,16.01308419,176.3608,3.2554,1
11018648,K00759.01,32.62876672,194.1019,4.7971,1
11018648,K00759.02,91.7732862,193.8378,6.473,1
11138155,K00760.01,4.959319244,172.2585292,2.22739,1
11152159,K00761.01,2.701287801,170.69579,3.3827,0
11153539,K00762.01,4.49876511,171.34905,3.7362,1
11242721,K00763.01,19.651209505,179.401981,5.2514,0
9579641,K00115.01,5.412203927,133.143089,2.9472,1
11304958,K00764.01,41.43958662,208.93203,10.5989,1
11391957,K00765.01,8.35389523,171.63257,2.2514,1
11403044,K00766.01,4.125543472,169.752585,3.1744,1
11414511,K00767.01,2.816504904,170.9676846,2.50587,1
11442465,K00768.01,33.93373447,186.67608,14.561,0
12110942,K00786.01,3.689920099,170.36571,2.6557,1
12366084,K00787.01,4.431238488,171.015,3.15,1
12366084,K00787.02,11.37936986,133.84992,2.6255,1
12404086,K00788.01,26.39432897,176.05459,3.573,1
8395660,K00116.01,13.57078281,136.279194,3.3539,1
9579641,K00115.02,7.12594387,139.00492,3.0014,1
11656840,K00774.01,7.442652004,169.9717797,2.3078,0
11754553,K00775.01,16.38489988,172.72782,3.0249,1
11754553,K00775.02,7.8774163,176.3759,2.0805,1
11754553,K00775.03,36.4454001,151.60125,4.007,1
11812062,K00776.01,3.728732147,171.793255,2.683,1
11853255,K00778.01,2.243380573,170.679233,1.1196,1
11909839,K00779.01,10.405998015,177.197466,6.5036,0
11918099,K00780.01,2.337437946,171.761982,1.9982,1
11923270,K00781.01,11.59822233,180.395376,2.5237,1
11960862,K00782.01,6.575315881,173.634044,4.3084,1
12020329,K00783.01,7.275040844,169.994217,7.5377,1
12066335,K00784.01,19.27153892,186.77093,2.7594,1
12066335,K00784.02,10.06524317,136.28906,1.369,1
12070811,K00785.01,12.3935651,178.74725,3.8896,1
8395660,K00116.02,43.84439721,151.93538,6.802,1
3120431,K00798.01,3.341913228,171.63943,3.813,0
3246984,K00799.01,1.626630225,169.820171,2.1145,0
3342970,K00800.01,2.711504086,170.03417,3.0099,1
3342970,K00800.02,7.21203748,172.81782,4.0491,1
12459725,K00789.01,14.1798187,171.50237,2.505,0
12470844,K00790.01,8.47237911,174.16212,2.7245,1
12470844,K00790.02,60.4189369,181.16367,5.039,1
12644822,K00791.01,12.611904345,180.892284,5.1497,1
2440757,K00792.01,1.433769925,170.403536,1.8868,0
2445129,K00793.01,10.31872301,173.31543,3.836,0
2713049,K00794.01,2.539183147,169.67494,2.4282,1
3114167,K00795.01,6.770300385,170.57662,2.0844,1
3114661,K00796.01,0.444291966,169.865406,2.0792,0
4139816,K00812.02,20.06036336,147.46554,3.3203,1
4139816,K00812.03,46.1842039,165.23729,4.758,1
8395660,K00116.04,23.9800854,147.537,5.351,1
4139816,K00812.04,7.82502168,136.54995,2.186,1
4275191,K00813.01,3.895936525,170.527552,2.3111,1
4476123,K00814.01,22.36646466,175.45862,5.228,1
3351888,K00801.01,1.625522174,170.8266564,2.38963,1
3554600,K00803.01,7.544039,171.7982,6.222,0
3641726,K00804.01,9.02930689,177.20422,3.1449,1
3734868,K00805.01,10.328035714,174.581054,7.7915,0
3832474,K00806.01,143.2063047,154.23552,8.9302,1
8395660,K00116.03,6.164876,135.63916,3.262,1
3832474,K00806.02,60.32494216,243.892578,6.6188,1
3832474,K00806.03,29.1598615,150.69922,4.803,1
3836375,K00807.01,1.540397253,170.50479,2.1541,0
3838486,K00808.01,2.99025443,171.9834,5.414,0
3935914,K00809.01,1.594745374,170.6483505,1.9604,1
3940418,K00810.01,4.783002698,170.508434,2.335,1
4049131,K00811.01,20.50588921,181.43428,4.0595,1
4139816,K00812.01,3.340218842,171.979062,1.9104,1
5287983,K00828.01,2.507089906,171.002455,2.0067,0
5358241,K00829.01,18.64932728,174.771,4.4056,1
10875245,K00117.02,4.90144976,138.60548,4.1654,1
5358241,K00829.02,9.75192101,138.78608,4.793,1
5358241,K00829.03,38.5576546,163.85063,5.794,1
5358624,K00830.01,3.525632539,170.0479951,2.59959,1
4664847,K00816.01,7.748094239,174.997206,3.5957,1
4725681,K00817.01,23.96793669,186.22182,3.827,1
4725681,K00817.02,8.29561738,135.79284,1.3421,1
4913852,K00818.01,8.11437482,176.33968,2.2736,1
4932348,K00819.01,38.036729482,196.934947,4.34617,0
11913073,K00011.01,3.747838198,171.66504,5.0642,0
10875245,K00117.01,14.74914825,138.77799,6.0995,1
5021899,K00821.01,21.81295996,174.01085,4.3791,1
5077629,K00822.01,7.91936937,172.181092,3.3148,0
5164255,K00824.01,15.37562369,173.61402,3.3169,1
5252423,K00825.01,8.10363271,176.9486,3.161,1
5252423,K00825.02,4.71510843,134.96178,2.506,1
5272878,K00826.01,6.365839713,171.13575,2.9721,1
5283542,K00827.01,5.97581754,174.77602,3.065,0
5649215,K00839.01,2.446737317,170.66951,4.7211,0
5651104,K00840.01,3.04033046,169.9490106,1.8411,1
5792202,K00841.01,15.33528675,174.00278,3.897,1
10875245,K00117.04,7.95825328,137.80219,4.377,1
5792202,K00841.02,31.33046135,153.43031,5.176,1
5370302,K00831.01,3.9043425,173.393734,3.831,0
5372966,K00832.01,9.286358079,171.8214689,3.49949,0
5376067,K00833.01,3.951405455,173.276125,2.1862,0
5436502,K00834.01,23.65369415,171.376107,8.2183,1
5436502,K00834.02,13.23352214,140.32196,6.7372,1
5436502,K00834.03,6.15560285,134.81656,4.9843,1
5436502,K00834.04,2.090811305,134.17462,3.388,1
10875245,K00117.03,3.180027898,133.49863,3.5797,1
5436502,K00834.05,50.4467417,178.5014,7.159,1
5456651,K00835.01,11.76307164,180.93613,2.9076,1
5456651,K00835.02,56.2279271,132.29259,3.57,1
5481416,K00836.01,2.384052875,171.58362,3.0918,0
5531576,K00837.01,7.953547,174.66224,2.6312,1
5531576,K00837.02,4.14451656,135.92831,2.3421,1
5534814,K00838.01,4.859386384,173.011469,2.2757,0
6291653,K00850.01,10.526294577,176.522462,2.5211,1
6392727,K00851.01,4.583520948,169.973972,2.7055,1
6422070,K00852.01,3.76181843,171.90364,3.5176,1
6428700,K00853.01,8.20396958,169.69138,2.9667,1
6428700,K00853.02,14.49645186,143.41659,4.016,1
5792202,K00841.03,6.54626149,133.85964,2.75,1
5794379,K00842.01,12.71809866,175.35526,3.0957,1
5794379,K00842.02,36.06588163,198.58423,4.3246,1
5881688,K00843.01,4.190425659,171.44122,2.8589,1
6022556,K00844.01,3.709870784,171.987982,3.0694,1
6032497,K00845.01,16.3297527,177.29506,6.271,1
6061119,K00846.01,27.807566216,186.713552,4.21587,1
6191521,K00847.01,80.8723469,203.895,11.195,1
6267425,K00848.01,3.166465862,172.002627,2.9381,0
3531558,K00118.01,24.99324319,138.68167,5.9409,1
6276477,K00849.01,10.35533116,170.93729,3.1775,1
6863998,K00867.01,16.08518937,180.28319,3.984,1
6948054,K00869.01,7.49018305,174.95037,2.7297,1
6948054,K00869.02,36.2761238,201.2869,4.7865,1
6948054,K00869.03,17.46087931,137.26594,2.2641,1
6435936,K00854.01,56.0560754,201.16578,4.685,1
6522242,K00855.01,41.408316686,195.78745,5.0264,1
6587280,K00857.01,5.715425977,174.87931,2.5242,1
9471974,K00119.01,49.18394185,141.911924,11.3364,1
6587280,K00857.02,20.0261412,146.91109,1.611,1
6675056,K00859.01,10.44331991,175.4046,2.743,0
6685526,K00861.01,2.237489571,170.81914,1.8119,1
6756669,K00862.01,5.851520671,173.8228336,3.11058,0
6784235,K00863.01,3.167893418,172.147959,2.1814,1
6849310,K00864.01,4.311780262,173.576483,2.7251,1
6849310,K00864.02,20.0504494,188.08821,4.556,1
6849310,K00864.03,9.76734503,186.57718,1.6585,1
9471974,K00119.02,190.3200468,312.68498,15.284,1
6862603,K00866.01,2.861159894,171.648106,1.8832,0
7366258,K00880.01,26.44439337,194.12074,3.9783,1
7366258,K00880.02,51.53997972,174.055011,6.3994,1
7366258,K00880.03,5.902245782,136.78393,2.9003,1
7366258,K00880.04,2.382951591,135.080841,1.8876,1
7373451,K00881.01,21.02250608,207.67593,4.1072,1
6948054,K00869.04,3.219814777,133.00406,2.0642,1
6949607,K00870.01,5.912273234,172.184012,2.3254,1
6949607,K00870.02,8.98581901,175.68418,2.8606,1
11869052,K00120.01,20.5452375,137.91394,2.517,0
7109675,K00872.01,33.60123371,186.680343,4.4056,1
7109675,K00872.02,6.76652928,138.0637,2.9004,1
7118364,K00873.01,4.347288783,172.23343,2.1024,1
